location,time,pm10,pm2_5,carbon_monoxide
Bengaluru City Center,2026-08-20T00:00,8.0,4.8,182.0
Bengaluru City Center,2026-08-20T01:00,8.1,5.0,231.0
Bengaluru City Center,2026-08-20T02:00,8.8,5.4,294.0
Bengaluru City Center,2026-08-20T03:00,10.0,6.0,328.0
Bengaluru City Center,2026-08-20T04:00,13.7,7.0,305.0
Bengaluru City Center,2026-08-20T05:00,15.0,7.4,253.0
Bengaluru City Center,2026-08-20T06:00,15.7,7.5,214.0
Bengaluru City Center,2026-08-20T07:00,16.8,7.6,205.0
Bengaluru City Center,2026-08-20T08:00,17.2,7.6,209.0
Bengaluru City Center,2026-08-20T09:00,16.4,7.5,222.0
Bengaluru City Center,2026-08-20T10:00,16.9,7.7,246.0
Bengaluru City Center,2026-08-20T11:00,19.2,9.1,279.0
Bengaluru City Center,2026-08-20T12:00,15.3,9.4,308.0
Bengaluru City Center,2026-08-20T13:00,13.5,9.5,330.0
Bengaluru City Center,2026-08-20T14:00,13.0,9.7,348.0
Bengaluru City Center,2026-08-20T15:00,12.4,9.2,357.0
Bengaluru City Center,2026-08-20T16:00,11.1,8.4,359.0
Bengaluru City Center,2026-08-20T17:00,10.0,7.7,352.0
Bengaluru City Center,2026-08-20T18:00,9.0,7.0,329.0
Bengaluru City Center,2026-08-20T19:00,7.7,6.0,277.0
Bengaluru City Center,2026-08-20T20:00,6.8,5.3,210.0
Bengaluru City Center,2026-08-20T21:00,6.0,4.7,161.0
Bengaluru City Center,2026-08-20T22:00,5.5,4.3,141.0
Bengaluru City Center,2026-08-20T23:00,5.0,4.0,138.0
Bengaluru City Center,2026-08-21T00:00,4.5,3.6,154.0
Bengaluru City Center,2026-08-21T01:00,4.4,3.4,205.0
Bengaluru City Center,2026-08-21T02:00,5.9,4.0,275.0
Bengaluru City Center,2026-08-21T03:00,7.5,5.2,314.0
Bengaluru City Center,2026-08-21T04:00,9.0,5.9,289.0
Bengaluru City Center,2026-08-21T05:00,9.9,6.2,234.0
Bengaluru City Center,2026-08-21T06:00,10.9,6.5,193.0
Bengaluru City Center,2026-08-21T07:00,13.1,7.1,185.0
Bengaluru City Center,2026-08-21T08:00,15.4,7.6,192.0
Bengaluru City Center,2026-08-21T09:00,17.1,8.1,208.0
Bengaluru City Center,2026-08-21T10:00,17.2,8.2,235.0
Bengaluru City Center,2026-08-21T11:00,15.9,8.1,270.0
Bengaluru City Center,2026-08-21T12:00,14.0,7.9,300.0
Bengaluru City Center,2026-08-21T13:00,12.8,8.7,322.0
Bengaluru City Center,2026-08-21T14:00,12.7,9.3,339.0
Bengaluru City Center,2026-08-21T15:00,11.6,8.9,342.0
Bengaluru City Center,2026-08-21T16:00,10.7,8.3,324.0
Bengaluru City Center,2026-08-21T17:00,10.2,8.0,291.0
Bengaluru City Center,2026-08-21T18:00,8.6,6.8,256.0
Bengaluru City Center,2026-08-21T19:00,7.1,5.7,218.0
Bengaluru City Center,2026-08-21T20:00,5.7,4.7,178.0
Bengaluru City Center,2026-08-21T21:00,4.5,3.8,149.0
Bengaluru City Center,2026-08-21T22:00,3.9,3.3,135.0
Bengaluru City Center,2026-08-21T23:00,3.9,3.1,132.0
Bengaluru City Center,2026-08-22T00:00,4.2,3.3,144.0
Bengaluru City Center,2026-08-22T01:00,4.8,3.8,187.0
Bengaluru City Center,2026-08-22T02:00,5.1,4.2,244.0
Bengaluru City Center,2026-08-22T03:00,4.5,3.8,278.0
Bengaluru City Center,2026-08-22T04:00,4.5,3.6,262.0
Bengaluru City Center,2026-08-22T05:00,5.5,4.1,221.0
Bengaluru City Center,2026-08-22T06:00,7.4,4.9,192.0
Bengaluru City Center,2026-08-22T07:00,7.8,5.0,187.0
Bengaluru City Center,2026-08-22T08:00,8.4,5.2,193.0
Bengaluru City Center,2026-08-22T09:00,8.9,5.5,207.0
Bengaluru City Center,2026-08-22T10:00,9.9,5.9,232.0
Bengaluru City Center,2026-08-22T11:00,11.1,6.4,266.0
Bengaluru City Center,2026-08-22T12:00,12.1,8.6,292.0
Bengaluru City Center,2026-08-22T13:00,12.1,9.2,307.0
Bengaluru City Center,2026-08-22T14:00,12.0,9.5,315.0
Bengaluru City Center,2026-08-22T15:00,10.8,8.9,316.0
Bengaluru City Center,2026-08-22T16:00,8.8,7.4,309.0
Bengaluru City Center,2026-08-22T17:00,7.4,6.3,294.0
Bengaluru City Center,2026-08-22T18:00,6.4,5.4,271.0
Bengaluru City Center,2026-08-22T19:00,5.4,4.5,233.0
Bengaluru City Center,2026-08-22T20:00,4.7,3.9,186.0
Bengaluru City Center,2026-08-22T21:00,4.3,3.5,153.0
Bengaluru City Center,2026-08-22T22:00,3.8,3.1,142.0
Bengaluru City Center,2026-08-22T23:00,3.4,2.8,143.0
Bengaluru City Center,2026-08-23T00:00,3.4,2.7,151.0
Bengaluru City Center,2026-08-23T01:00,3.5,3.0,168.0
Bengaluru City Center,2026-08-23T02:00,4.0,3.3,192.0
Bengaluru City Center,2026-08-23T03:00,5.2,3.6,205.0
Bengaluru City Center,2026-08-23T04:00,6.8,4.3,197.0
Bengaluru City Center,2026-08-23T05:00,8.1,5.0,179.0
Bengaluru City Center,2026-08-23T06:00,9.6,5.5,165.0
Bengaluru City Center,2026-08-23T07:00,9.4,5.2,156.0
Bengaluru City Center,2026-08-23T08:00,9.2,5.0,152.0
Bengaluru City Center,2026-08-23T09:00,8.8,4.9,165.0
Bengaluru City Center,2026-08-23T10:00,9.5,5.0,212.0
Bengaluru City Center,2026-08-23T11:00,11.4,5.7,277.0
Bengaluru City Center,2026-08-23T12:00,12.0,7.9,320.0
Bengaluru City Center,2026-08-23T13:00,11.3,7.9,323.0
Bengaluru City Center,2026-08-23T14:00,11.4,8.9,305.0
Bengaluru City Center,2026-08-23T15:00,11.5,9.2,280.0
Bengaluru City Center,2026-08-23T16:00,9.7,8.0,249.0
Bengaluru City Center,2026-08-23T17:00,8.2,6.9,212.0
Bengaluru City Center,2026-08-23T18:00,6.7,5.6,181.0
Bengaluru City Center,2026-08-23T19:00,5.2,4.4,161.0
Bengaluru City Center,2026-08-23T20:00,4.4,3.5,147.0
Bengaluru City Center,2026-08-23T21:00,3.6,2.9,137.0
Bengaluru City Center,2026-08-23T22:00,3.3,2.6,130.0
Bengaluru City Center,2026-08-23T23:00,3.3,2.5,127.0
Bengaluru City Center,2026-08-24T00:00,3.5,2.6,125.8
Bengaluru City Center,2026-08-24T01:00,4.1,3.2,133.5
Bengaluru City Center,2026-08-24T02:00,5.2,4.1,156.0
Bengaluru City Center,2026-08-24T03:00,5.6,3.9,181.0
Bengaluru City Center,2026-08-24T04:00,6.6,4.2,177.0
Bengaluru City Center,2026-08-24T05:00,9.2,5.3,165.0
Bengaluru City Center,2026-08-24T06:00,8.8,5.1,154.0
Bengaluru City Center,2026-08-24T07:00,9.9,5.4,147.0
Bengaluru City Center,2026-08-24T08:00,10.9,5.6,142.0
Bengaluru City Center,2026-08-24T09:00,12.2,6.0,147.0
Bengaluru City Center,2026-08-24T10:00,10.7,7.0,173.0
Bengaluru City Center,2026-08-24T11:00,9.6,6.5,209.0
Bengaluru City Center,2026-08-24T12:00,8.5,6.3,235.0
Bengaluru City Center,2026-08-24T13:00,,,
Bengaluru City Center,2026-08-24T14:00,,,
Bengaluru City Center,2026-08-24T15:00,,,
Bengaluru City Center,2026-08-24T16:00,,,
Bengaluru City Center,2026-08-24T17:00,,,
Bengaluru City Center,2026-08-24T18:00,,,
Bengaluru City Center,2026-08-24T19:00,,,
Bengaluru City Center,2026-08-24T20:00,,,
Bengaluru City Center,2026-08-24T21:00,,,
Bengaluru City Center,2026-08-24T22:00,,,
Bengaluru City Center,2026-08-24T23:00,,,
Whitefield,2026-08-20T00:00,8.0,4.8,144.0
Whitefield,2026-08-20T01:00,8.1,5.0,171.0
Whitefield,2026-08-20T02:00,8.8,5.4,208.0
Whitefield,2026-08-20T03:00,10.0,6.0,229.0
Whitefield,2026-08-20T04:00,13.7,7.0,216.0
Whitefield,2026-08-20T05:00,15.0,7.4,185.0
Whitefield,2026-08-20T06:00,15.7,7.5,162.0
Whitefield,2026-08-20T07:00,16.8,7.6,153.0
Whitefield,2026-08-20T08:00,17.2,7.6,150.0
Whitefield,2026-08-20T09:00,16.4,7.5,156.0
Whitefield,2026-08-20T10:00,16.9,7.7,173.0
Whitefield,2026-08-20T11:00,19.2,9.1,200.0
Whitefield,2026-08-20T12:00,15.3,9.4,230.0
Whitefield,2026-08-20T13:00,13.5,9.5,271.0
Whitefield,2026-08-20T14:00,13.0,9.7,315.0
Whitefield,2026-08-20T15:00,12.4,9.2,339.0
Whitefield,2026-08-20T16:00,11.1,8.4,328.0
Whitefield,2026-08-20T17:00,10.0,7.7,297.0
Whitefield,2026-08-20T18:00,9.0,7.0,263.0
Whitefield,2026-08-20T19:00,7.7,6.0,229.0
Whitefield,2026-08-20T20:00,6.8,5.3,193.0
Whitefield,2026-08-20T21:00,6.0,4.7,165.0
Whitefield,2026-08-20T22:00,5.5,4.3,147.0
Whitefield,2026-08-20T23:00,5.0,4.0,137.0
Whitefield,2026-08-21T00:00,4.5,3.6,138.0
Whitefield,2026-08-21T01:00,4.4,3.4,161.0
Whitefield,2026-08-21T02:00,5.9,4.0,196.0
Whitefield,2026-08-21T03:00,7.5,5.2,214.0
Whitefield,2026-08-21T04:00,9.0,5.9,199.0
Whitefield,2026-08-21T05:00,9.9,6.2,168.0
Whitefield,2026-08-21T06:00,10.9,6.5,145.0
